# DART 공시 RAG 컨텍스트
# 생성일: 2026-03-19T06:45:29.433Z
# 총 76건

[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-03-16
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-03-05
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-03-04
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-27
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-02-27
[공시] 특수관계인에대한담보제공 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-23
[공시] 특수관계인과의예ㆍ적금거래 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-23
[공시] [기재정정]특수관계인에대한담보제공 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-13
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-02-12
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-09
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-02-09
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2026-02-06
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-02-06
[공시] 계열금융회사의약관에의한금융거래-[예ㆍ적금] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2026-01-09
[공시] [기재정정]특수관계인으로부터받은담보 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-24
[공시] [기재정정]특수관계인에대한담보제공 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-24
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-23
[공시] 동일인등출자계열회사와의상품ㆍ용역거래 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-22
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-22
[공시] 특수관계인으로부터받은담보 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-22
[공시] 특수관계인에대한자산양도 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-12-19
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-12-19
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-19
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-19
[공시] 특수관계인에대한자산양도 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-12-11
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-12-08
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-12-05
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-28
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-11-28
[공시] 주요사항보고서(중요한자산양수도결정(기타)) | 계열사: OK캐피탈 | 유형: 주요사항보고 | 접수일: 2025-11-27
[공시] 특수관계인으로부터받은담보 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-27
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-27
[공시] 특수관계인에대한자산양도 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-27
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-11-19
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-19
[공시] 분기보고서 (2025.09) | 계열사: OK캐피탈 | 유형: 분기보고서 | 접수일: 2025-11-14
[공시] 동일인등출자계열회사와의상품ㆍ용역거래변경 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-11-05
[공시] [기재정정]대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-10-24
[공시] 동일인등출자계열회사와의상품ㆍ용역거래변경 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-10-23
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-10-23
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-10-23
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-09-26
[공시] 특수관계인에대한자산양도 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-09-25
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-08-28
[공시] 대규모기업집단현황공시[분기별공시(개별회사용)] | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-08-28
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-08-18
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-08-18
[공시] 반기보고서 (2025.06) | 계열사: OK캐피탈 | 유형: 반기보고서 | 접수일: 2025-08-14
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-25
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-25
[공시] [기재정정]특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-25
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-16
[공시] 특수관계인에대한담보제공 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-15
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-15
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-07-14
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-14
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-14
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-14
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-04
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-07-04
[공시] 특수관계인에대한자산양도 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-06-27
[공시] 특수관계인에대한자산양도 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-06-27
[공시] 특수관계인에대한주식의처분 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-06-23
[공시] 특수관계인으로부터주식의취득 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-06-23
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-06-23
[공시] 대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)] | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-05-30
[공시] 대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)] | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-05-29
[공시] [기재정정]분기보고서 (2025.03) | 계열사: OK캐피탈 | 유형: 분기보고서 | 접수일: 2025-05-19
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-05-16
[공시] 분기보고서 (2025.03) | 계열사: OK캐피탈 | 유형: 분기보고서 | 접수일: 2025-05-15
[공시] [기재정정]사업보고서 (2024.12) | 계열사: OK캐피탈 | 유형: 사업보고서 | 접수일: 2025-05-15
[공시] 특수관계인으로부터자금차입 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-04-25
[공시] 감사보고서 (2024.12) | 계열사: OK저축은행 | 유형: 감사보고서 | 접수일: 2025-04-03
[공시] 사업보고서 (2024.12) | 계열사: OK캐피탈 | 유형: 사업보고서 | 접수일: 2025-03-31
[공시] 특수관계인에대한자산양도 | 계열사: OK저축은행 | 유형: 기타 | 접수일: 2025-03-27
[공시] 특수관계인에대한자산양도 | 계열사: OK캐피탈 | 유형: 기타 | 접수일: 2025-03-26
